epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4845,1.45052,3.79683,1.82631,0.00795,0.7,0.13758,0.09068,1.85475,4.60683,2.83209,4e-05,4e-05,4e-05
2,38.169,1.51067,3.59695,1.87894,0.04859,0.60278,0.19385,0.10762,1.78723,4.69763,2.57444,8.8218e-05,8.8218e-05,8.8218e-05
3,54.18,1.398,3.55686,1.73032,0.07168,0.78611,0.2788,0.13887,1.83755,4.6722,2.46333,0.000134456,0.000134456,0.000134456
4,68.9981,1.35399,3.44487,1.67202,0.05343,0.80833,0.17196,0.08015,1.97401,4.65276,2.59253,0.000178714,0.000178714,0.000178714
5,83.304,1.26514,3.33492,1.60034,0.038,0.81944,0.18743,0.0773,2.03819,4.62036,2.69578,0.000220992,0.000220992,0.000220992
6,96.7886,1.20657,3.22707,1.54624,0.03095,0.84167,0.20014,0.07677,1.90621,4.66381,2.6091,0.00026129,0.00026129,0.00026129
7,110.773,1.28384,3.15431,1.60791,0.02104,0.875,0.22684,0.06564,1.82615,4.68001,2.45843,0.000299608,0.000299608,0.000299608
8,124.809,1.30296,3.08497,1.6067,0.01577,0.79167,0.19094,0.06893,1.90836,4.64528,2.59245,0.000335946,0.000335946,0.000335946
9,138.836,1.23207,2.97234,1.58322,0.01266,0.77778,0.2227,0.08113,1.88129,4.59247,2.54279,0.000370304,0.000370304,0.000370304
10,153.115,1.33731,2.91057,1.67927,0.01043,0.875,0.22404,0.10125,1.73978,4.44689,2.4121,0.000402682,0.000402682,0.000402682
11,166.823,1.33238,2.74659,1.61301,0.0079,0.875,0.25161,0.11953,1.9869,4.52027,2.69021,0.00043308,0.00043308,0.00043308
12,180.231,1.38601,2.69386,1.66169,0.00683,0.875,0.28437,0.13124,2.12142,4.41221,3.02228,0.000461498,0.000461498,0.000461498
13,193.896,1.3177,2.58486,1.68831,0.00662,0.875,0.36299,0.14125,2.09978,4.33082,2.97412,0.000487936,0.000487936,0.000487936
14,207.492,1.23738,2.52123,1.5521,0.86528,0.09722,0.32444,0.13896,1.95892,4.20244,2.79885,0.000512394,0.000512394,0.000512394
15,221.161,1.33234,2.43681,1.57179,0.71748,0.13882,0.25184,0.11953,1.83589,4.06365,2.66641,0.000534872,0.000534872,0.000534872
16,234.309,1.24275,2.31615,1.5644,0.67331,0.15246,0.28933,0.14601,1.87424,4.10435,2.7266,0.00055537,0.00055537,0.00055537
17,247.458,1.3041,2.20237,1.65686,0.55393,0.25981,0.3166,0.13457,1.98234,4.01589,2.97316,0.000573888,0.000573888,0.000573888
18,260.908,1.22983,2.12334,1.526,0.32723,0.28611,0.31182,0.15158,1.95649,4.0674,3.03115,0.000590426,0.000590426,0.000590426
19,274.303,1.20924,2.07133,1.49772,0.38917,0.35133,0.31933,0.13125,2.12786,4.07834,3.39181,0.000604984,0.000604984,0.000604984
20,287.545,1.2586,2.05006,1.54712,0.32411,0.36301,0.3682,0.14638,2.43341,4.05833,3.81835,0.000617562,0.000617562,0.000617562
21,300.856,1.14259,1.97076,1.51372,0.50612,0.18587,0.2609,0.10746,2.31572,4.09079,3.88173,0.000604,0.000604,0.000604
22,314.164,1.21447,1.94223,1.50119,0.18858,0.34167,0.24699,0.10578,2.43503,4.20079,3.91794,0.0005842,0.0005842,0.0005842
23,327.329,1.20024,2.01695,1.54427,0.20941,0.18611,0.19623,0.09494,2.45046,4.35161,3.86132,0.0005644,0.0005644,0.0005644
24,340.966,1.15838,1.83341,1.48864,0.50209,0.18611,0.14626,0.06613,2.26753,4.40154,3.8436,0.0005446,0.0005446,0.0005446
25,354.253,1.20449,1.87573,1.55883,0.48282,0.19481,0.15739,0.06736,2.21939,4.40684,3.59,0.0005248,0.0005248,0.0005248
26,367.359,1.10938,1.59139,1.41687,0.3345,0.29444,0.23142,0.09092,2.17493,4.42959,3.49337,0.000505,0.000505,0.000505
27,380.608,1.09273,1.77202,1.44043,0.38219,0.27993,0.27599,0.11268,2.13568,4.34515,3.3932,0.0004852,0.0004852,0.0004852
28,393.679,1.03538,1.69725,1.3421,0.55465,0.30716,0.40541,0.17137,2.04799,3.93054,3.13277,0.0004654,0.0004654,0.0004654
29,407.156,1.16909,1.77115,1.44818,0.44078,0.41111,0.44932,0.20911,2.01435,3.61838,3.00595,0.0004456,0.0004456,0.0004456
30,420.711,1.08946,1.60613,1.36151,0.50568,0.4642,0.47973,0.21088,1.96092,3.77934,2.89728,0.0004258,0.0004258,0.0004258
31,434.738,1.0688,1.56521,1.38022,0.5312,0.47183,0.51148,0.20144,2.08165,3.80508,2.98103,0.000406,0.000406,0.000406
32,448.965,1.09113,1.5109,1.41482,0.62127,0.47378,0.51631,0.22091,2.16775,3.54393,2.99871,0.0003862,0.0003862,0.0003862
33,462.935,1.09294,1.49207,1.33644,0.59658,0.51611,0.5464,0.24025,2.21046,3.61944,2.96783,0.0003664,0.0003664,0.0003664
34,476.841,1.03789,1.50462,1.40025,0.64832,0.44266,0.55581,0.26428,2.08056,3.48608,2.9334,0.0003466,0.0003466,0.0003466
35,490.935,0.98151,1.51643,1.41194,0.63198,0.40603,0.51934,0.25896,2.11619,3.5475,2.84015,0.0003268,0.0003268,0.0003268
36,504.872,0.98555,1.39868,1.31987,0.30011,0.48611,0.4516,0.19711,2.14437,3.61674,2.85011,0.000307,0.000307,0.000307
37,518.619,0.95486,1.47495,1.36649,0.31949,0.44444,0.38665,0.16666,2.13314,3.66583,2.8599,0.0002872,0.0002872,0.0002872
38,532.191,0.93517,1.41376,1.28084,0.30711,0.4798,0.41454,0.18253,2.04542,3.73719,2.79916,0.0002674,0.0002674,0.0002674
39,545.617,0.96893,1.48444,1.3923,0.56024,0.35556,0.46111,0.21481,2.01343,3.72314,2.76718,0.0002476,0.0002476,0.0002476
40,559.936,0.96737,1.38663,1.335,0.67693,0.39719,0.51622,0.24033,2.03818,3.51267,2.72056,0.0002278,0.0002278,0.0002278
41,573.666,0.86722,2.06579,1.33011,0.67022,0.42068,0.51316,0.23851,2.04517,3.47522,2.68379,0.000208,0.000208,0.000208
42,587.149,0.83078,1.92642,1.34837,0.71606,0.43078,0.53492,0.24864,2.01913,3.41229,2.6475,0.0001882,0.0001882,0.0001882
43,600.634,0.85779,1.90541,1.32586,0.7583,0.42904,0.5012,0.25431,2.00406,3.49142,2.60582,0.0001684,0.0001684,0.0001684
44,613.887,0.80089,1.97144,1.33457,0.82515,0.45346,0.51681,0.2523,1.96187,3.50108,2.54597,0.0001486,0.0001486,0.0001486
45,627.423,0.81058,1.93374,1.29427,0.73139,0.41601,0.54392,0.25772,2.00003,3.53859,2.57926,0.0001288,0.0001288,0.0001288
46,641.249,0.77735,1.88724,1.34221,0.55426,0.49001,0.54063,0.25321,2.03916,3.47442,2.63085,0.000109,0.000109,0.000109
47,654.391,0.69576,1.8093,1.23033,0.50395,0.55986,0.54083,0.25274,2.03666,3.4108,2.65315,8.92e-05,8.92e-05,8.92e-05
48,667.477,0.7561,1.79245,1.20105,0.58201,0.48824,0.55004,0.26423,2.01271,3.25624,2.69887,6.94e-05,6.94e-05,6.94e-05
49,680.777,0.78102,1.78241,1.32891,0.52296,0.54123,0.55087,0.26667,2.00734,3.26357,2.70016,4.96e-05,4.96e-05,4.96e-05
50,694.109,0.66413,1.72807,1.20493,0.58739,0.52332,0.55699,0.25866,2.00014,3.25349,2.70655,2.98e-05,2.98e-05,2.98e-05
